method,w,clf,acc,f1,ARI,silhouette
n2vflat-slic,nan,LogReg,0.5133333333333334,0.5058431833443187,0.09077300539018128,0.057465150582523945
n2vflat-slic,nan,RandomForest,0.5355555555555556,0.5286872727531543,0.09077300539018128,0.057465150582523945
n2vflat-slic,nan,SVM,0.5355555555555556,0.5284466906253467,0.09077300539018128,0.057465150582523945
n2v-slic,0.0,LogReg,0.5466666666666666,0.5327588292304354,0.1108267800462298,0.38450029352180776
n2v-slic,0.0,RandomForest,0.5266666666666667,0.5187371935197008,0.1108267800462298,0.38450029352180776
n2v-slic,0.0,SVM,0.5477777777777778,0.5335883077326433,0.1108267800462298,0.38450029352180776
n2v-slic,0.25,LogReg,0.5411111111111111,0.5282029737819047,0.11190829766066195,0.3264902616115037
n2v-slic,0.25,RandomForest,0.5388888888888889,0.5267887888712754,0.11190829766066195,0.3264902616115037
n2v-slic,0.25,SVM,0.5566666666666666,0.5450498646120874,0.11190829766066195,0.3264902616115037
n2v-slic,0.5,LogReg,0.5288888888888889,0.5158239586267135,0.11126476200278915,0.17066933897989442
n2v-slic,0.5,RandomForest,0.5399999999999999,0.5280564786255124,0.11126476200278915,0.17066933897989442
n2v-slic,0.5,SVM,0.5522222222222222,0.5411782482553477,0.11126476200278915,0.17066933897989442
n2v-slic,0.75,LogReg,0.5288888888888889,0.5184438902219826,0.07309308220290597,0.06088004725273913
n2v-slic,0.75,RandomForest,0.5411111111111111,0.5293079246459599,0.07309308220290597,0.06088004725273913
n2v-slic,0.75,SVM,0.5177777777777778,0.504780980327809,0.07309308220290597,0.06088004725273913
n2v-slic,1.0,LogReg,0.45444444444444443,0.4501789216726281,0.02436579423727731,0.055360860423034
n2v-slic,1.0,RandomForest,0.4322222222222222,0.429735704122962,0.02436579423727731,0.055360860423034
n2v-slic,1.0,SVM,0.4533333333333333,0.45075473592532705,0.02436579423727731,0.055360860423034
wl-slic,nan,LogReg,0.6066666666666667,0.6040074386870018,0.005867873498109706,0.023124019306006067
wl-slic,nan,RandomForest,0.5766666666666665,0.5738506406206324,0.005867873498109706,0.023124019306006067
wl-slic,nan,SVM,0.5888888888888889,0.5863888767519361,0.005867873498109706,0.023124019306006067
g2v-slic,nan,LogReg,0.5533333333333333,0.5511938424625524,0.07748409516295263,0.06462524677210232
g2v-slic,nan,RandomForest,0.55,0.5448263837974056,0.07748409516295263,0.06462524677210232
g2v-slic,nan,SVM,0.5777777777777777,0.5762070839721424,0.07748409516295263,0.06462524677210232
topo-slic,nan,LogReg,0.5266666666666667,0.518652902593935,0.0848893605685503,0.21997823826165672
topo-slic,nan,RandomForest,0.5177777777777777,0.51330761126764,0.0848893605685503,0.21997823826165672
topo-slic,nan,SVM,0.5433333333333333,0.5343708472054092,0.0848893605685503,0.21997823826165672
spec-slic,nan,LogReg,0.4611111111111111,0.4555923066153625,0.043515990460042675,0.2030036691241527
spec-slic,nan,RandomForest,0.4622222222222222,0.4565162167504869,0.043515990460042675,0.2030036691241527
spec-slic,nan,SVM,0.4600000000000001,0.44721689266326986,0.043515990460042675,0.2030036691241527
combo-slic,0.0,LogReg,0.5466666666666666,0.5327588292304354,0.1108267800462298,0.38450028988961577
combo-slic,0.0,RandomForest,0.5222222222222223,0.5146556793437446,0.1108267800462298,0.38450028988961577
combo-slic,0.0,SVM,0.5477777777777778,0.5335883077326433,0.1108267800462298,0.38450028988961577
combo-slic,0.25,LogReg,0.5777777777777777,0.567149609898691,0.1108267800462298,0.3303514499722527
combo-slic,0.25,RandomForest,0.5855555555555555,0.5792737126650742,0.1108267800462298,0.3303514499722527
combo-slic,0.25,SVM,0.5722222222222223,0.5618903135035944,0.1108267800462298,0.3303514499722527
combo-slic,0.5,LogReg,0.5866666666666667,0.5794870894109808,0.11576109662393241,0.1826649785629503
combo-slic,0.5,RandomForest,0.5855555555555555,0.5792737126650742,0.11576109662393241,0.1826649785629503
combo-slic,0.5,SVM,0.6122222222222222,0.6056194296673856,0.11576109662393241,0.1826649785629503
combo-slic,0.75,LogReg,0.59,0.5842796341715201,0.10839311865872477,0.07885248964219115
combo-slic,0.75,RandomForest,0.5855555555555555,0.5792737126650742,0.10839311865872477,0.07885248964219115
combo-slic,0.75,SVM,0.6044444444444446,0.5987461488662525,0.10839311865872477,0.07885248964219115
combo-slic,1.0,LogReg,0.5744444444444443,0.5708187105669469,0.0853643757337591,0.06696361493287906
combo-slic,1.0,RandomForest,0.5477777777777777,0.5434301659996204,0.0853643757337591,0.06696361493287906
combo-slic,1.0,SVM,0.5733333333333334,0.571745021945973,0.0853643757337591,0.06696361493287906
gnat-slic,0.0,LogReg,0.5466666666666666,0.5327588292304354,0.1108267800462298,0.38450028988961577
gnat-slic,0.0,RandomForest,0.5377777777777777,0.5296617037073353,0.1108267800462298,0.38450028988961577
gnat-slic,0.0,SVM,0.5477777777777778,0.5335883077326433,0.1108267800462298,0.38450028988961577
gnat-slic,0.25,LogReg,0.5744444444444444,0.5639305980192492,0.1108267800462298,0.33129779221853534
gnat-slic,0.25,RandomForest,0.6066666666666667,0.6005203639386887,0.1108267800462298,0.33129779221853534
gnat-slic,0.25,SVM,0.5822222222222223,0.5728423846439731,0.1108267800462298,0.33129779221853534
gnat-slic,0.5,LogReg,0.5911111111111111,0.5834697659735187,0.1101252233190649,0.1844571525541617
gnat-slic,0.5,RandomForest,0.6077777777777778,0.6015478891305136,0.1101252233190649,0.1844571525541617
gnat-slic,0.5,SVM,0.6133333333333333,0.6071672839020148,0.1101252233190649,0.1844571525541617
gnat-slic,0.75,LogReg,0.5922222222222222,0.5862606735379896,0.13333894784690606,0.07596485746023636
gnat-slic,0.75,RandomForest,0.6055555555555555,0.5993960174554429,0.13333894784690606,0.07596485746023636
gnat-slic,0.75,SVM,0.5977777777777777,0.5911651507630694,0.13333894784690606,0.07596485746023636
gnat-slic,1.0,LogReg,0.5633333333333332,0.5603215196098361,0.10645386410771036,0.0604631150959374
gnat-slic,1.0,RandomForest,0.5811111111111111,0.5741316204727611,0.10645386410771036,0.0604631150959374
gnat-slic,1.0,SVM,0.5844444444444445,0.5804743461109385,0.10645386410771036,0.0604631150959374
gspec-slic,0.0,LogReg,0.5466666666666666,0.5327588292304354,0.1108267800462298,0.38450028988961577
gspec-slic,0.0,RandomForest,0.5244444444444445,0.5180034688727007,0.1108267800462298,0.38450028988961577
gspec-slic,0.0,SVM,0.5477777777777778,0.5335883077326433,0.1108267800462298,0.38450028988961577
gspec-slic,0.25,LogReg,0.5655555555555555,0.5541502297600165,0.11173406907155999,0.3326995368208735
gspec-slic,0.25,RandomForest,0.5877777777777778,0.5814731205305923,0.11173406907155999,0.3326995368208735
gspec-slic,0.25,SVM,0.5688888888888888,0.5581468449718401,0.11173406907155999,0.3326995368208735
gspec-slic,0.5,LogReg,0.5866666666666667,0.579274402315779,0.10589346344331896,0.19039826842809443
gspec-slic,0.5,RandomForest,0.5888888888888889,0.5828169073022993,0.10589346344331896,0.19039826842809443
gspec-slic,0.5,SVM,0.6055555555555555,0.5992451260379231,0.10589346344331896,0.19039826842809443
gspec-slic,0.75,LogReg,0.5966666666666667,0.5902981523197841,0.11199124454821996,0.08230187589150054
gspec-slic,0.75,RandomForest,0.5900000000000001,0.5841033855407248,0.11199124454821996,0.08230187589150054
gspec-slic,0.75,SVM,0.6,0.5932462256657922,0.11199124454821996,0.08230187589150054
gspec-slic,1.0,LogReg,0.5633333333333334,0.5596674330364354,0.1076466484870578,0.06753935131360816
gspec-slic,1.0,RandomForest,0.5688888888888889,0.5635997051264008,0.1076466484870578,0.06753935131360816
gspec-slic,1.0,SVM,0.5800000000000001,0.5744068064190329,0.1076466484870578,0.06753935131360816
hyb-slic,0.0,LogReg,0.7233333333333334,0.7219085657497699,0.023169177739874744,0.05348850349356452
hyb-slic,0.0,RandomForest,0.7077777777777777,0.7059529833753261,0.023169177739874744,0.05348850349356452
hyb-slic,0.0,SVM,0.76,0.7604812573423672,0.023169177739874744,0.05348850349356452
hyb-slic,0.25,LogReg,0.7477777777777778,0.7460782988536284,0.025381372659097047,0.04816532256684697
hyb-slic,0.25,RandomForest,0.7222222222222222,0.7189882457401947,0.025381372659097047,0.04816532256684697
hyb-slic,0.25,SVM,0.7855555555555556,0.7851708282912007,0.025381372659097047,0.04816532256684697
hyb-slic,0.5,LogReg,0.7444444444444445,0.7424812896042836,0.12314588322059593,0.03465806821213624
hyb-slic,0.5,RandomForest,0.7222222222222222,0.7189882457401947,0.12314588322059593,0.03465806821213624
hyb-slic,0.5,SVM,0.75,0.749179985060433,0.12314588322059593,0.03465806821213624
hyb-slic,0.75,LogReg,0.6566666666666665,0.6527122635332676,0.08066309509036569,0.06033541148069667
hyb-slic,0.75,RandomForest,0.7222222222222222,0.7189882457401947,0.08066309509036569,0.06033541148069667
hyb-slic,0.75,SVM,0.65,0.6480505019724297,0.08066309509036569,0.06033541148069667
hyb-slic,1.0,LogReg,0.5744444444444443,0.5708187105669469,0.0853643757337591,0.06696361493287906
hyb-slic,1.0,RandomForest,0.5633333333333332,0.5600480948518041,0.0853643757337591,0.06696361493287906
hyb-slic,1.0,SVM,0.5733333333333334,0.571745021945973,0.0853643757337591,0.06696361493287906
combo+r-slic,0.0,LogReg,0.5844444444444445,0.5793873466896601,0.13415767624043623,0.1991770925091472
combo+r-slic,0.0,RandomForest,0.5877777777777778,0.5823851846135288,0.13415767624043623,0.1991770925091472
combo+r-slic,0.0,SVM,0.58,0.576087863706435,0.13415767624043623,0.1991770925091472
gnat+r-slic,0.0,LogReg,0.5844444444444445,0.5793873466896601,0.13415767624043623,0.1991770925091472
gnat+r-slic,0.0,RandomForest,0.5611111111111111,0.5554148360962409,0.13415767624043623,0.1991770925091472
gnat+r-slic,0.0,SVM,0.58,0.576087863706435,0.13415767624043623,0.1991770925091472
gspec+r-slic,0.0,LogReg,0.5844444444444445,0.5793873466896601,0.13415767624043623,0.1991770925091472
gspec+r-slic,0.0,RandomForest,0.5877777777777778,0.5829379346711824,0.13415767624043623,0.1991770925091472
gspec+r-slic,0.0,SVM,0.58,0.576087863706435,0.13415767624043623,0.1991770925091472
combo+r-slic,0.25,LogReg,0.6,0.5948171026937896,0.13512977506181398,0.17721041235416082
combo+r-slic,0.25,RandomForest,0.61,0.6044015281567328,0.13512977506181398,0.17721041235416082
combo+r-slic,0.25,SVM,0.59,0.5853304950460572,0.13512977506181398,0.17721041235416082
gnat+r-slic,0.25,LogReg,0.5944444444444443,0.5888834458537996,0.13512977506181398,0.17812040083086308
gnat+r-slic,0.25,RandomForest,0.61,0.6053979316664218,0.13512977506181398,0.17812040083086308
gnat+r-slic,0.25,SVM,0.5911111111111111,0.5873983183900721,0.13512977506181398,0.17812040083086308
gspec+r-slic,0.25,LogReg,0.5877777777777777,0.5820822766628801,0.13488593882788716,0.1789070665767885
gspec+r-slic,0.25,RandomForest,0.6088888888888888,0.6048170785005084,0.13488593882788716,0.1789070665767885
gspec+r-slic,0.25,SVM,0.5922222222222222,0.5888309171008934,0.13488593882788716,0.1789070665767885
combo+r-slic,0.5,LogReg,0.5944444444444444,0.5881850896891824,0.16822786683829424,0.10549932502213061
combo+r-slic,0.5,RandomForest,0.61,0.6044015281567328,0.16822786683829424,0.10549932502213061
combo+r-slic,0.5,SVM,0.6077777777777778,0.6038257536108096,0.16822786683829424,0.10549932502213061
gnat+r-slic,0.5,LogReg,0.6,0.5950626847626139,0.12463962329731929,0.10840624586643038
gnat+r-slic,0.5,RandomForest,0.61,0.6053979316664218,0.12463962329731929,0.10840624586643038
gnat+r-slic,0.5,SVM,0.6022222222222222,0.5975937309678572,0.12463962329731929,0.10840624586643038
gspec+r-slic,0.5,LogReg,0.5955555555555556,0.5895055866897736,0.12332944936567761,0.11399298512279497
gspec+r-slic,0.5,RandomForest,0.6088888888888888,0.6048170785005084,0.12332944936567761,0.11399298512279497
gspec+r-slic,0.5,SVM,0.6011111111111112,0.5959504725594602,0.12332944936567761,0.11399298512279497
combo+r-slic,0.75,LogReg,0.5977777777777779,0.5931254520493645,0.10628915494486087,0.06888600086158013
combo+r-slic,0.75,RandomForest,0.61,0.6044015281567328,0.10628915494486087,0.06888600086158013
combo+r-slic,0.75,SVM,0.6022222222222223,0.5986983797103731,0.10628915494486087,0.06888600086158013
gnat+r-slic,0.75,LogReg,0.5900000000000001,0.5851439998365631,0.133766655800734,0.06454257016740592
gnat+r-slic,0.75,RandomForest,0.6088888888888888,0.6041294378062269,0.133766655800734,0.06454257016740592
gnat+r-slic,0.75,SVM,0.61,0.6052845573502794,0.133766655800734,0.06454257016740592
gspec+r-slic,0.75,LogReg,0.5855555555555555,0.5802477572602001,0.12810694275273907,0.07222658778839183
gspec+r-slic,0.75,RandomForest,0.6088888888888888,0.6048170785005084,0.12810694275273907,0.07222658778839183
gspec+r-slic,0.75,SVM,0.5933333333333334,0.5855670152581524,0.12810694275273907,0.07222658778839183
combo+r-slic,1.0,LogReg,0.5744444444444443,0.5708187105669469,0.0853643757337591,0.06696361493287906
combo+r-slic,1.0,RandomForest,0.5577777777777777,0.5548003486905946,0.0853643757337591,0.06696361493287906
combo+r-slic,1.0,SVM,0.5733333333333334,0.571745021945973,0.0853643757337591,0.06696361493287906
gnat+r-slic,1.0,LogReg,0.5633333333333332,0.5603215196098361,0.10645386410771036,0.0604631150959374
gnat+r-slic,1.0,RandomForest,0.5700000000000001,0.5637934846582874,0.10645386410771036,0.0604631150959374
gnat+r-slic,1.0,SVM,0.5844444444444445,0.5804743461109385,0.10645386410771036,0.0604631150959374
gspec+r-slic,1.0,LogReg,0.5644444444444445,0.5606966051607678,0.1114323982478413,0.06737748436053022
gspec+r-slic,1.0,RandomForest,0.5677777777777778,0.5594282986964594,0.1114323982478413,0.06737748436053022
gspec+r-slic,1.0,SVM,0.5766666666666667,0.5711002485246114,0.1114323982478413,0.06737748436053022
