method,w,clf,acc,f1,ARI,silhouette
n2v-pixel,0.0,LogReg,0.5958333333333334,0.5882812352500241,0.1339464412181013,0.14579943008910004
n2v-pixel,0.0,RandomForest,0.6208333333333333,0.6139450481412139,0.1339464412181013,0.14579943008910004
n2v-pixel,0.0,SVM,0.6416666666666667,0.6362412897854697,0.1339464412181013,0.14579943008910004
n2v-pixel,0.25,LogReg,0.5875,0.5808798640271519,0.1339464412181013,0.12877722830186455
n2v-pixel,0.25,RandomForest,0.6458333333333334,0.6351960819762906,0.1339464412181013,0.12877722830186455
n2v-pixel,0.25,SVM,0.6458333333333333,0.6401818269731449,0.1339464412181013,0.12877722830186455
n2v-pixel,0.5,LogReg,0.5833333333333333,0.574567191378027,0.13967693551834023,0.06837077232504755
n2v-pixel,0.5,RandomForest,0.6458333333333334,0.6351960819762906,0.13967693551834023,0.06837077232504755
n2v-pixel,0.5,SVM,0.625,0.6187155644795942,0.13967693551834023,0.06837077232504755
n2v-pixel,0.75,LogReg,0.5791666666666666,0.5715922502164755,0.04286297245138572,0.027088463254945936
n2v-pixel,0.75,RandomForest,0.6458333333333334,0.6351960819762906,0.04286297245138572,0.027088463254945936
n2v-pixel,0.75,SVM,0.5708333333333332,0.5607558732305182,0.04286297245138572,0.027088463254945936
n2v-pixel,1.0,LogReg,0.4291666666666667,0.4269224702020401,0.006163634949326351,0.027637589731025577
n2v-pixel,1.0,RandomForest,0.3916666666666667,0.3907315405797379,0.006163634949326351,0.027637589731025577
n2v-pixel,1.0,SVM,0.4375,0.4334398298012497,0.006163634949326351,0.027637589731025577
wl-pixel,nan,LogReg,0.5291666666666667,0.5249161721742366,0.05274863455353689,0.014993815718457305
wl-pixel,nan,RandomForest,0.6250000000000001,0.6212094088891751,0.05274863455353689,0.014993815718457305
wl-pixel,nan,SVM,0.5875,0.584054962170687,0.05274863455353689,0.014993815718457305
g2v-pixel,nan,LogReg,0.6041666666666666,0.5993315637217685,0.03556102304958144,0.021615017200555534
g2v-pixel,nan,RandomForest,0.5875,0.5847647661215024,0.03556102304958144,0.021615017200555534
g2v-pixel,nan,SVM,0.6125,0.6063450879584338,0.03556102304958144,0.021615017200555534
combo-pixel,0.0,LogReg,0.5958333333333334,0.5882812352500241,0.1339464412181013,0.1457994315519298
combo-pixel,0.0,RandomForest,0.6291666666666667,0.6225871676816654,0.1339464412181013,0.1457994315519298
combo-pixel,0.0,SVM,0.6416666666666667,0.6362412897854697,0.1339464412181013,0.1457994315519298
combo-pixel,0.25,LogReg,0.5958333333333334,0.587310743301553,0.1339464412181013,0.13104905683825266
combo-pixel,0.25,RandomForest,0.6458333333333333,0.6358101077910223,0.1339464412181013,0.13104905683825266
combo-pixel,0.25,SVM,0.6375,0.6316922664581742,0.1339464412181013,0.13104905683825266
combo-pixel,0.5,LogReg,0.6458333333333334,0.6408450366969636,0.1356554100466896,0.07844619561022546
combo-pixel,0.5,RandomForest,0.6458333333333333,0.6358101077910223,0.1356554100466896,0.07844619561022546
combo-pixel,0.5,SVM,0.6708333333333332,0.66492147555475,0.1356554100466896,0.07844619561022546
combo-pixel,0.75,LogReg,0.6625000000000001,0.658820737558878,0.10769041965761147,0.03273621775010425
combo-pixel,0.75,RandomForest,0.6458333333333333,0.6358101077910223,0.10769041965761147,0.03273621775010425
combo-pixel,0.75,SVM,0.6416666666666666,0.6350656450453611,0.10769041965761147,0.03273621775010425
combo-pixel,1.0,LogReg,0.6166666666666666,0.6088858344767306,0.049584242945815385,0.021852913373993664
combo-pixel,1.0,RandomForest,0.5833333333333334,0.5772941829606097,0.049584242945815385,0.021852913373993664
combo-pixel,1.0,SVM,0.6166666666666667,0.6112744519011022,0.049584242945815385,0.021852913373993664
hyb-pixel,0.0,LogReg,0.6416666666666667,0.6403495469720928,0.014094813002071294,0.0524817461404895
hyb-pixel,0.0,RandomForest,0.6208333333333333,0.6183523115166116,0.014094813002071294,0.0524817461404895
hyb-pixel,0.0,SVM,0.6625,0.6570480848442137,0.014094813002071294,0.0524817461404895
hyb-pixel,0.25,LogReg,0.6541666666666666,0.6534242595792467,0.031098296555799397,0.04669161630077222
hyb-pixel,0.25,RandomForest,0.6,0.5991315040012595,0.031098296555799397,0.04669161630077222
hyb-pixel,0.25,SVM,0.6708333333333334,0.6670280254307519,0.031098296555799397,0.04669161630077222
hyb-pixel,0.5,LogReg,0.6875,0.684611404323124,0.03668816996321381,0.027639278537685056
hyb-pixel,0.5,RandomForest,0.6,0.5991315040012595,0.03668816996321381,0.027639278537685056
hyb-pixel,0.5,SVM,0.6916666666666667,0.6898155924386049,0.03668816996321381,0.027639278537685056
hyb-pixel,0.75,LogReg,0.6625,0.6549054059139339,0.12992363287941391,0.01978717373614329
hyb-pixel,0.75,RandomForest,0.6,0.5991315040012595,0.12992363287941391,0.01978717373614329
hyb-pixel,0.75,SVM,0.65,0.6475117175210588,0.12992363287941391,0.01978717373614329
hyb-pixel,1.0,LogReg,0.6166666666666666,0.6088858344767306,0.049584242945815385,0.021852913373993664
hyb-pixel,1.0,RandomForest,0.6041666666666667,0.599916945718599,0.049584242945815385,0.021852913373993664
hyb-pixel,1.0,SVM,0.6166666666666667,0.6112744519011022,0.049584242945815385,0.021852913373993664
baseline-rgb,nan,LogReg,0.5208333333333333,0.5148417525475912,0.02772266823384263,0.38002122523314447
baseline-rgb,nan,RandomForest,0.5125,0.5111998422137138,0.02772266823384263,0.38002122523314447
baseline-rgb,nan,SVM,0.5083333333333333,0.502412429695522,0.02772266823384263,0.38002122523314447
