method,w,clf,acc,f1,ARI,silhouette
n2vflat-slic,nan,LogReg,0.211,0.2073233569596388,0.016846513998791876,0.0406004617721519
n2vflat-slic,nan,RandomForest,0.215,0.19963469481621615,0.016846513998791876,0.0406004617721519
n2vflat-slic,nan,SVM,0.19899999999999998,0.1878614346167713,0.016846513998791876,0.0406004617721519
n2v-slic,0.0,LogReg,0.253,0.2315041200144449,0.035745563748839644,0.27592244759968243
n2v-slic,0.0,RandomForest,0.24700000000000003,0.2405847912054532,0.035745563748839644,0.27592244759968243
n2v-slic,0.0,SVM,0.24299999999999997,0.2116525464090962,0.035745563748839644,0.27592244759968243
n2v-slic,0.25,LogReg,0.25,0.22629834404426136,0.037434553072828544,0.1659306722642222
n2v-slic,0.25,RandomForest,0.20800000000000002,0.1935250725507896,0.037434553072828544,0.1659306722642222
n2v-slic,0.25,SVM,0.23700000000000002,0.20933408800921102,0.037434553072828544,0.1659306722642222
n2v-slic,0.5,LogReg,0.238,0.21610885732034407,0.03670873129696823,0.055077715130109506
n2v-slic,0.5,RandomForest,0.20800000000000002,0.1935250725507896,0.03670873129696823,0.055077715130109506
n2v-slic,0.5,SVM,0.24300000000000002,0.22158035780084342,0.03670873129696823,0.055077715130109506
n2v-slic,0.75,LogReg,0.20900000000000002,0.1972554089618778,0.01187621133101876,0.04344989670080124
n2v-slic,0.75,RandomForest,0.20800000000000002,0.1935250725507896,0.01187621133101876,0.04344989670080124
n2v-slic,0.75,SVM,0.188,0.17317098080903887,0.01187621133101876,0.04344989670080124
n2v-slic,1.0,LogReg,0.128,0.12038443840692484,0.0038030567450010465,0.046466982218079766
n2v-slic,1.0,RandomForest,0.11100000000000002,0.1056537866349955,0.0038030567450010465,0.046466982218079766
n2v-slic,1.0,SVM,0.129,0.12052252116714164,0.0038030567450010465,0.046466982218079766
wl-slic,nan,LogReg,0.21999999999999997,0.21693281329842723,0.01596112677566017,0.013840742311139824
wl-slic,nan,RandomForest,0.23099999999999996,0.22511370608963183,0.01596112677566017,0.013840742311139824
wl-slic,nan,SVM,0.23900000000000002,0.23308850631795236,0.01596112677566017,0.013840742311139824
g2v-slic,nan,LogReg,0.213,0.20988060057422486,0.034327538229964906,0.06257566771250561
g2v-slic,nan,RandomForest,0.258,0.2521052335448609,0.034327538229964906,0.06257566771250561
g2v-slic,nan,SVM,0.251,0.24822767157064018,0.034327538229964906,0.06257566771250561
topo-slic,nan,LogReg,0.175,0.1656757477218262,0.01373329812861434,0.16479464823654275
topo-slic,nan,RandomForest,0.16,0.15595944928246472,0.01373329812861434,0.16479464823654275
topo-slic,nan,SVM,0.174,0.1589574060236935,0.01373329812861434,0.16479464823654275
spec-slic,nan,LogReg,0.11699999999999999,0.11380844228296838,0.012436694123502115,0.13278733908127088
spec-slic,nan,RandomForest,0.15500000000000003,0.15036923891739873,0.012436694123502115,0.13278733908127088
spec-slic,nan,SVM,0.13999999999999999,0.1278584424506844,0.012436694123502115,0.13278733908127088
combo-slic,0.0,LogReg,0.253,0.2315041200144449,0.035745563748839644,0.27592244002980193
combo-slic,0.0,RandomForest,0.24699999999999997,0.24007716606880444,0.035745563748839644,0.27592244002980193
combo-slic,0.0,SVM,0.24299999999999997,0.2116525464090962,0.035745563748839644,0.27592244002980193
combo-slic,0.25,LogReg,0.27799999999999997,0.2559653245124981,0.03790831650714135,0.20209361276963397
combo-slic,0.25,RandomForest,0.277,0.26919486222133165,0.03790831650714135,0.20209361276963397
combo-slic,0.25,SVM,0.262,0.23961804734236208,0.03790831650714135,0.20209361276963397
