method,w,clf,acc,f1,ARI,silhouette
n2vflat-slic,nan,LogReg,0.5349999999999999,0.530427222471458,0.09477689703583517,0.05833941074153287
n2vflat-slic,nan,RandomForest,0.6033333333333333,0.5940939112519217,0.09477689703583517,0.05833941074153287
n2vflat-slic,nan,SVM,0.5750000000000001,0.5665036579716385,0.09477689703583517,0.05833941074153287
n2v-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.3901527321887738
n2v-slic,0.0,RandomForest,0.5783333333333334,0.5714900222861237,0.1311755976126575,0.3901527321887738
n2v-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.3901527321887738
n2v-slic,0.25,LogReg,0.5833333333333333,0.5727145057100437,0.1340629004375433,0.3309061343382489
n2v-slic,0.25,RandomForest,0.5950000000000001,0.5870854446132524,0.1340629004375433,0.3309061343382489
n2v-slic,0.25,SVM,0.5833333333333334,0.5734670968146343,0.1340629004375433,0.3309061343382489
n2v-slic,0.5,LogReg,0.5716666666666667,0.5626811728840739,0.1279322360753495,0.17090798443917601
n2v-slic,0.5,RandomForest,0.5950000000000001,0.5870854446132524,0.1279322360753495,0.17090798443917601
n2v-slic,0.5,SVM,0.5766666666666668,0.5678252475759175,0.1279322360753495,0.17090798443917601
n2v-slic,0.75,LogReg,0.5616666666666668,0.5524327956170108,0.05936980457997956,0.06420790276726397
n2v-slic,0.75,RandomForest,0.5950000000000001,0.5870854446132524,0.05936980457997956,0.06420790276726397
n2v-slic,0.75,SVM,0.5666666666666667,0.5561690736906211,0.05936980457997956,0.06420790276726397
n2v-slic,1.0,LogReg,0.4683333333333334,0.46699216417461004,0.03703446310087781,0.06027416217254982
n2v-slic,1.0,RandomForest,0.45,0.4449685257081374,0.03703446310087781,0.06027416217254982
n2v-slic,1.0,SVM,0.4616666666666667,0.45806186695563883,0.03703446310087781,0.06027416217254982
wl-slic,nan,LogReg,0.5966666666666667,0.5929849238463083,0.08226021641900141,0.025609625496504643
wl-slic,nan,RandomForest,0.6316666666666666,0.6298585460631433,0.08226021641900141,0.025609625496504643
wl-slic,nan,SVM,0.6033333333333333,0.6024311902274071,0.08226021641900141,0.025609625496504643
g2v-slic,nan,LogReg,0.5966666666666667,0.5945761411578053,0.08131437865327423,0.0882194420232897
g2v-slic,nan,RandomForest,0.65,0.6467536601200174,0.08131437865327423,0.0882194420232897
g2v-slic,nan,SVM,0.6566666666666666,0.6540531318591288,0.08131437865327423,0.0882194420232897
topo-slic,nan,LogReg,0.5,0.49411845113144937,0.06645650054152592,0.19272668393199566
topo-slic,nan,RandomForest,0.4683333333333334,0.4569613061298307,0.06645650054152592,0.19272668393199566
topo-slic,nan,SVM,0.5,0.4821935986614944,0.06645650054152592,0.19272668393199566
spec-slic,nan,LogReg,0.43000000000000005,0.42807579352321146,0.04680428276363204,0.23916844777721663
spec-slic,nan,RandomForest,0.41833333333333333,0.4147669134570087,0.04680428276363204,0.23916844777721663
spec-slic,nan,SVM,0.445,0.4373262190517539,0.04680428276363204,0.23916844777721663
combo-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
combo-slic,0.0,RandomForest,0.5683333333333334,0.5607731745454543,0.1311755976126575,0.39015273220471147
combo-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
combo-slic,0.25,LogReg,0.6066666666666667,0.5991899265502514,0.13541317857274943,0.34010158506905186
combo-slic,0.25,RandomForest,0.655,0.6498338405114312,0.13541317857274943,0.34010158506905186
combo-slic,0.25,SVM,0.6133333333333334,0.6060248199601003,0.13541317857274943,0.34010158506905186
combo-slic,0.5,LogReg,0.6416666666666667,0.6364145348437834,0.1377059152923445,0.20290031829485772
combo-slic,0.5,RandomForest,0.6533333333333333,0.6481165678514538,0.1377059152923445,0.20290031829485772
combo-slic,0.5,SVM,0.6883333333333332,0.6853177899242138,0.1377059152923445,0.20290031829485772
combo-slic,0.75,LogReg,0.655,0.6505314188592388,0.11315213960821024,0.10544239570068514
combo-slic,0.75,RandomForest,0.6533333333333333,0.6481165678514538,0.11315213960821024,0.10544239570068514
combo-slic,0.75,SVM,0.6783333333333333,0.6752139751703898,0.11315213960821024,0.10544239570068514
combo-slic,1.0,LogReg,0.6483333333333333,0.6446942401805686,0.09216326998577481,0.08911848236355424
combo-slic,1.0,RandomForest,0.6483333333333333,0.6465405784414419,0.09216326998577481,0.08911848236355424
combo-slic,1.0,SVM,0.6599999999999999,0.6574045145642625,0.09216326998577481,0.08911848236355424
gnat-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
gnat-slic,0.0,RandomForest,0.57,0.5606958374305604,0.1311755976126575,0.39015273220471147
gnat-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
gnat-slic,0.25,LogReg,0.6066666666666667,0.5989663017969589,0.13427596898294836,0.3401585401168262
gnat-slic,0.25,RandomForest,0.6599999999999999,0.6559096565279731,0.13427596898294836,0.3401585401168262
gnat-slic,0.25,SVM,0.6166666666666666,0.6086004775826551,0.13427596898294836,0.3401585401168262
gnat-slic,0.5,LogReg,0.64,0.6337575072138233,0.13621240892225034,0.20272026075641253
gnat-slic,0.5,RandomForest,0.6599999999999999,0.6559096565279731,0.13621240892225034,0.20272026075641253
gnat-slic,0.5,SVM,0.6716666666666666,0.6685184375978854,0.13621240892225034,0.20272026075641253
gnat-slic,0.75,LogReg,0.6533333333333333,0.6471118558082238,0.12877603344886518,0.09918973225572633
gnat-slic,0.75,RandomForest,0.6599999999999999,0.6559096565279731,0.12877603344886518,0.09918973225572633
gnat-slic,0.75,SVM,0.6716666666666666,0.6675029969818906,0.12877603344886518,0.09918973225572633
gnat-slic,1.0,LogReg,0.6416666666666667,0.6380474851068261,0.1004386343255705,0.08214049389646244
gnat-slic,1.0,RandomForest,0.6483333333333332,0.6460705962304452,0.1004386343255705,0.08214049389646244
gnat-slic,1.0,SVM,0.6599999999999999,0.655172776744273,0.1004386343255705,0.08214049389646244
gspec-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
gspec-slic,0.0,RandomForest,0.5766666666666667,0.5669169548566975,0.1311755976126575,0.39015273220471147
gspec-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
gspec-slic,0.25,LogReg,0.6050000000000001,0.5965803104907114,0.13458672060694346,0.3405980633034358
gspec-slic,0.25,RandomForest,0.6383333333333333,0.6329305818544791,0.13458672060694346,0.3405980633034358
gspec-slic,0.25,SVM,0.6183333333333333,0.6102918594230236,0.13458672060694346,0.3405980633034358
gspec-slic,0.5,LogReg,0.635,0.627475823600175,0.1403885541818127,0.20541647607948954
gspec-slic,0.5,RandomForest,0.6366666666666667,0.6309892187443427,0.1403885541818127,0.20541647607948954
gspec-slic,0.5,SVM,0.6833333333333333,0.6791920333227739,0.1403885541818127,0.20541647607948954
gspec-slic,0.75,LogReg,0.6516666666666666,0.6451258483100284,0.13357168407797348,0.10154938482377193
gspec-slic,0.75,RandomForest,0.6366666666666667,0.6309892187443427,0.13357168407797348,0.10154938482377193
gspec-slic,0.75,SVM,0.6533333333333333,0.646989276150796,0.13357168407797348,0.10154938482377193
gspec-slic,1.0,LogReg,0.6316666666666666,0.6280113025854648,0.09571381808214888,0.08544313652185918
gspec-slic,1.0,RandomForest,0.6066666666666667,0.6013138467651562,0.09571381808214888,0.08544313652185918
gspec-slic,1.0,SVM,0.6449999999999999,0.6400791490077362,0.09571381808214888,0.08544313652185918
hyb-slic,0.0,LogReg,0.6833333333333333,0.6827652746718177,0.019461722732367022,0.05164531133674641
hyb-slic,0.0,RandomForest,0.6866666666666668,0.6820630781539021,0.019461722732367022,0.05164531133674641
hyb-slic,0.0,SVM,0.725,0.7252955546627293,0.019461722732367022,0.05164531133674641
hyb-slic,0.25,LogReg,0.7233333333333334,0.7217930704523997,0.0203811443175644,0.04694918603147313
hyb-slic,0.25,RandomForest,0.7133333333333333,0.7104608297789532,0.0203811443175644,0.04694918603147313
hyb-slic,0.25,SVM,0.7516666666666667,0.7520022937661164,0.0203811443175644,0.04694918603147313
hyb-slic,0.5,LogReg,0.73,0.7269449187361694,0.14380576358663888,0.04740600626337944
hyb-slic,0.5,RandomForest,0.7133333333333333,0.7104608297789532,0.14380576358663888,0.04740600626337944
hyb-slic,0.5,SVM,0.745,0.7428560041674437,0.14380576358663888,0.04740600626337944
hyb-slic,0.75,LogReg,0.6699999999999999,0.6662431223179583,0.084919121317303,0.08010109257087139
