method,w,clf,acc,f1,ARI,silhouette
n2vflat-slic,nan,LogReg,0.5183333333333333,0.5130552127824467,0.06268224366705469,0.06352660002461007
n2vflat-slic,nan,RandomForest,0.5616666666666668,0.5522006312361067,0.06268224366705469,0.06352660002461007
n2vflat-slic,nan,SVM,0.5533333333333333,0.5455018760582974,0.06268224366705469,0.06352660002461007
n2v-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.3901527321887738
n2v-slic,0.0,RandomForest,0.5783333333333334,0.5714900222861237,0.1311755976126575,0.3901527321887738
n2v-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.3901527321887738
n2v-slic,0.25,LogReg,0.5650000000000001,0.551291884111784,0.13375440923879595,0.331330296594357
n2v-slic,0.25,RandomForest,0.5566666666666666,0.5451485146928072,0.13375440923879595,0.331330296594357
n2v-slic,0.25,SVM,0.5933333333333334,0.5842432059692599,0.13375440923879595,0.331330296594357
n2v-slic,0.5,LogReg,0.5533333333333333,0.5399302759929177,0.13094129993127446,0.172521982922558
n2v-slic,0.5,RandomForest,0.5566666666666666,0.5451485146928072,0.13094129993127446,0.172521982922558
n2v-slic,0.5,SVM,0.5650000000000001,0.5543054011151392,0.13094129993127446,0.172521982922558
n2v-slic,0.75,LogReg,0.5166666666666666,0.503909517379352,0.061524116009149074,0.06740497134824124
n2v-slic,0.75,RandomForest,0.5566666666666666,0.5451485146928072,0.061524116009149074,0.06740497134824124
n2v-slic,0.75,SVM,0.5433333333333333,0.5281712618197079,0.061524116009149074,0.06740497134824124
n2v-slic,1.0,LogReg,0.36166666666666664,0.3577023850835709,0.033482690911106706,0.06288607970228144
n2v-slic,1.0,RandomForest,0.35833333333333334,0.35351473212492507,0.033482690911106706,0.06288607970228144
n2v-slic,1.0,SVM,0.3616666666666667,0.35481191618090585,0.033482690911106706,0.06288607970228144
wl-slic,nan,LogReg,0.565,0.5609701587316754,0.0032603290434864273,0.02293039811855118
wl-slic,nan,RandomForest,0.5983333333333333,0.5955441779740097,0.0032603290434864273,0.02293039811855118
wl-slic,nan,SVM,0.5883333333333333,0.5819751400145176,0.0032603290434864273,0.02293039811855118
g2v-slic,nan,LogReg,0.585,0.5839399247368442,0.048612645380223085,0.10166650984126507
g2v-slic,nan,RandomForest,0.5883333333333333,0.5853883537088747,0.048612645380223085,0.10166650984126507
g2v-slic,nan,SVM,0.6133333333333334,0.6116898046088688,0.048612645380223085,0.10166650984126507
combo-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
combo-slic,0.0,RandomForest,0.5683333333333334,0.5607731745454543,0.1311755976126575,0.39015273220471147
combo-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
combo-slic,0.25,LogReg,0.6016666666666668,0.5926505301493658,0.13539832086622738,0.33838933477965605
combo-slic,0.25,RandomForest,0.6416666666666666,0.634460110893126,0.13539832086622738,0.33838933477965605
combo-slic,0.25,SVM,0.6,0.5908349222366239,0.13539832086622738,0.33838933477965605
combo-slic,0.5,LogReg,0.6183333333333333,0.6119316600878297,0.1378822138888748,0.19807936475686871
combo-slic,0.5,RandomForest,0.6416666666666666,0.634460110893126,0.1378822138888748,0.19807936475686871
combo-slic,0.5,SVM,0.6466666666666667,0.6378305158822283,0.1378822138888748,0.19807936475686871
combo-slic,0.75,LogReg,0.6333333333333333,0.6275231226246547,0.07356479924182248,0.10958596896913694
combo-slic,0.75,RandomForest,0.6416666666666666,0.634460110893126,0.07356479924182248,0.10958596896913694
combo-slic,0.75,SVM,0.6333333333333334,0.6274735665853495,0.07356479924182248,0.10958596896913694
combo-slic,1.0,LogReg,0.595,0.5932772792289541,0.044860508975210475,0.1063049683607719
combo-slic,1.0,RandomForest,0.615,0.611483902861442,0.044860508975210475,0.1063049683607719
combo-slic,1.0,SVM,0.6066666666666667,0.6040266495770463,0.044860508975210475,0.1063049683607719
hyb-slic,0.0,LogReg,0.6833333333333333,0.6827652746718177,0.019461722732367022,0.05164531133674641
hyb-slic,0.0,RandomForest,0.6866666666666668,0.6820630781539021,0.019461722732367022,0.05164531133674641
hyb-slic,0.0,SVM,0.725,0.7252955546627293,0.019461722732367022,0.05164531133674641
hyb-slic,0.25,LogReg,0.71,0.7082379707229383,0.021652591884344215,0.0466975016144883
hyb-slic,0.25,RandomForest,0.705,0.7002072196532925,0.021652591884344215,0.0466975016144883
hyb-slic,0.25,SVM,0.735,0.734126841763967,0.021652591884344215,0.0466975016144883
hyb-slic,0.5,LogReg,0.7133333333333334,0.711041815607508,0.0812016719088725,0.05269416234845636
hyb-slic,0.5,RandomForest,0.705,0.7002072196532925,0.0812016719088725,0.05269416234845636
hyb-slic,0.5,SVM,0.7366666666666666,0.7358249161400321,0.0812016719088725,0.05269416234845636
hyb-slic,0.75,LogReg,0.6549999999999999,0.6530305283358563,0.04938656230212239,0.09419773378029116
hyb-slic,0.75,RandomForest,0.705,0.7002072196532925,0.04938656230212239,0.09419773378029116
hyb-slic,0.75,SVM,0.6599999999999999,0.6585678092768927,0.04938656230212239,0.09419773378029116
hyb-slic,1.0,LogReg,0.595,0.5932772792289541,0.044860508975210475,0.1063049683607719
hyb-slic,1.0,RandomForest,0.6116666666666667,0.6075332826412393,0.044860508975210475,0.1063049683607719
hyb-slic,1.0,SVM,0.6066666666666667,0.6040266495770463,0.044860508975210475,0.1063049683607719
combo+r-slic,0.0,LogReg,0.615,0.6079448409527165,0.1300237268573703,0.20404032567570968
combo+r-slic,0.0,RandomForest,0.595,0.5880132281474623,0.1300237268573703,0.20404032567570968
combo+r-slic,0.0,SVM,0.6316666666666666,0.6242249709555553,0.1300237268573703,0.20404032567570968
combo+r-slic,0.25,LogReg,0.6366666666666667,0.629015785393207,0.1365957772311136,0.18045489970387227
