method,w,clf,acc,f1,ARI,silhouette
n2vflat-slic,nan,LogReg,0.5349999999999999,0.530427222471458,0.09477689703583517,0.05833941074153287
n2vflat-slic,nan,RandomForest,0.6033333333333333,0.5940939112519217,0.09477689703583517,0.05833941074153287
n2vflat-slic,nan,SVM,0.5750000000000001,0.5665036579716385,0.09477689703583517,0.05833941074153287
n2v-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.3901527321887738
n2v-slic,0.0,RandomForest,0.5783333333333334,0.5714900222861237,0.1311755976126575,0.3901527321887738
n2v-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.3901527321887738
n2v-slic,0.25,LogReg,0.5833333333333333,0.5727145057100437,0.1340629004375433,0.3309061343382489
n2v-slic,0.25,RandomForest,0.5950000000000001,0.5870854446132524,0.1340629004375433,0.3309061343382489
n2v-slic,0.25,SVM,0.5833333333333334,0.5734670968146343,0.1340629004375433,0.3309061343382489
n2v-slic,0.5,LogReg,0.5716666666666667,0.5626811728840739,0.1279322360753495,0.17090798443917601
n2v-slic,0.5,RandomForest,0.5950000000000001,0.5870854446132524,0.1279322360753495,0.17090798443917601
n2v-slic,0.5,SVM,0.5766666666666668,0.5678252475759175,0.1279322360753495,0.17090798443917601
n2v-slic,0.75,LogReg,0.5616666666666668,0.5524327956170108,0.05936980457997956,0.06420790276726397
n2v-slic,0.75,RandomForest,0.5950000000000001,0.5870854446132524,0.05936980457997956,0.06420790276726397
n2v-slic,0.75,SVM,0.5666666666666667,0.5561690736906211,0.05936980457997956,0.06420790276726397
n2v-slic,1.0,LogReg,0.4683333333333334,0.46699216417461004,0.03703446310087781,0.06027416217254982
n2v-slic,1.0,RandomForest,0.45,0.4449685257081374,0.03703446310087781,0.06027416217254982
n2v-slic,1.0,SVM,0.4616666666666667,0.45806186695563883,0.03703446310087781,0.06027416217254982
wl-slic,nan,LogReg,0.5716666666666667,0.5688952844980665,0.016483669222594404,0.015184314174681397
wl-slic,nan,RandomForest,0.585,0.5826257757994684,0.016483669222594404,0.015184314174681397
wl-slic,nan,SVM,0.575,0.5734694288532751,0.016483669222594404,0.015184314174681397
g2v-slic,nan,LogReg,0.6083333333333333,0.606987446152816,0.05600608229810295,0.06688562735999613
g2v-slic,nan,RandomForest,0.5883333333333334,0.5844567187073098,0.05600608229810295,0.06688562735999613
g2v-slic,nan,SVM,0.6166666666666667,0.6140671938066614,0.05600608229810295,0.06688562735999613
topo-slic,nan,LogReg,0.5,0.49411845113144937,0.06645650054152592,0.19272668393199566
topo-slic,nan,RandomForest,0.4683333333333334,0.4569613061298307,0.06645650054152592,0.19272668393199566
topo-slic,nan,SVM,0.5,0.4821935986614944,0.06645650054152592,0.19272668393199566
spec-slic,nan,LogReg,0.43000000000000005,0.42807579352321146,0.04680428276363204,0.23916844777721663
spec-slic,nan,RandomForest,0.41833333333333333,0.4147669134570087,0.04680428276363204,0.23916844777721663
spec-slic,nan,SVM,0.445,0.4373262190517539,0.04680428276363204,0.23916844777721663
combo-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
combo-slic,0.0,RandomForest,0.5683333333333334,0.5607731745454543,0.1311755976126575,0.39015273220471147
combo-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
combo-slic,0.25,LogReg,0.6066666666666667,0.5982338844966678,0.13539832086622738,0.3359577933143109
combo-slic,0.25,RandomForest,0.635,0.6280964543329285,0.13539832086622738,0.3359577933143109
combo-slic,0.25,SVM,0.5966666666666667,0.5888874897891138,0.13539832086622738,0.3359577933143109
combo-slic,0.5,LogReg,0.6116666666666666,0.6033243256481526,0.13861898446930715,0.18761868927148123
combo-slic,0.5,RandomForest,0.635,0.6280964543329285,0.13861898446930715,0.18761868927148123
combo-slic,0.5,SVM,0.6283333333333333,0.6218593706232374,0.13861898446930715,0.18761868927148123
combo-slic,0.75,LogReg,0.6166666666666667,0.6087818801516555,0.11531894951068657,0.0810740060422962
combo-slic,0.75,RandomForest,0.635,0.6280964543329285,0.11531894951068657,0.0810740060422962
combo-slic,0.75,SVM,0.6316666666666666,0.6246590141739633,0.11531894951068657,0.0810740060422962
combo-slic,1.0,LogReg,0.595,0.5913602155743979,0.05806613111781195,0.07036573662896939
combo-slic,1.0,RandomForest,0.5983333333333334,0.593810576155405,0.05806613111781195,0.07036573662896939
combo-slic,1.0,SVM,0.6083333333333333,0.6056688365847489,0.05806613111781195,0.07036573662896939
gnat-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
gnat-slic,0.0,RandomForest,0.57,0.5606958374305604,0.1311755976126575,0.39015273220471147
gnat-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
gnat-slic,0.25,LogReg,0.605,0.5971153474033788,0.13176806921921874,0.33664507259866605
gnat-slic,0.25,RandomForest,0.6383333333333334,0.6305346827782714,0.13176806921921874,0.33664507259866605
gnat-slic,0.25,SVM,0.6016666666666667,0.5922657123106501,0.13176806921921874,0.33664507259866605
gnat-slic,0.5,LogReg,0.6166666666666667,0.6092480766199598,0.13579236910442577,0.19046036026502325
gnat-slic,0.5,RandomForest,0.6333333333333334,0.625164811797419,0.13579236910442577,0.19046036026502325
gnat-slic,0.5,SVM,0.6516666666666667,0.6439414226629551,0.13579236910442577,0.19046036026502325
gnat-slic,0.75,LogReg,0.62,0.6132477144613186,0.13001937676124117,0.07933383414780916
gnat-slic,0.75,RandomForest,0.6333333333333334,0.625164811797419,0.13001937676124117,0.07933383414780916
gnat-slic,0.75,SVM,0.65,0.6421227599177257,0.13001937676124117,0.07933383414780916
gnat-slic,1.0,LogReg,0.5783333333333334,0.5760225982701793,0.1257765029884622,0.06324920639225565
gnat-slic,1.0,RandomForest,0.63,0.6252708297202989,0.1257765029884622,0.06324920639225565
gnat-slic,1.0,SVM,0.6233333333333333,0.6185712852050577,0.1257765029884622,0.06324920639225565
gspec-slic,0.0,LogReg,0.575,0.5625405926493247,0.1311755976126575,0.39015273220471147
gspec-slic,0.0,RandomForest,0.5766666666666667,0.5669169548566975,0.1311755976126575,0.39015273220471147
gspec-slic,0.0,SVM,0.575,0.5638736657363832,0.1311755976126575,0.39015273220471147
gspec-slic,0.25,LogReg,0.6016666666666667,0.5929291643809897,0.13092463674779703,0.3376558398025183
gspec-slic,0.25,RandomForest,0.6366666666666666,0.628511741547573,0.13092463674779703,0.3376558398025183
gspec-slic,0.25,SVM,0.5933333333333334,0.5839388838186094,0.13092463674779703,0.3376558398025183
gspec-slic,0.5,LogReg,0.6133333333333334,0.6046683861068973,0.1432796215420223,0.1947363017568326
gspec-slic,0.5,RandomForest,0.6366666666666666,0.628511741547573,0.1432796215420223,0.1947363017568326
gspec-slic,0.5,SVM,0.6416666666666666,0.6349601964279615,0.1432796215420223,0.1947363017568326
gspec-slic,0.75,LogReg,0.6066666666666667,0.597862032157305,0.12547924292375925,0.08546305314561434
gspec-slic,0.75,RandomForest,0.6366666666666666,0.628511741547573,0.12547924292375925,0.08546305314561434
gspec-slic,0.75,SVM,0.6516666666666667,0.6444481958159732,0.12547924292375925,0.08546305314561434
gspec-slic,1.0,LogReg,0.5650000000000001,0.5610381387964455,0.09071618813566651,0.07317755274154748
gspec-slic,1.0,RandomForest,0.5833333333333333,0.5779496751161247,0.09071618813566651,0.07317755274154748
gspec-slic,1.0,SVM,0.615,0.6117668321212903,0.09071618813566651,0.07317755274154748
hyb-slic,0.0,LogReg,0.6833333333333333,0.6827652746718177,0.019461722732367022,0.05164531133674641
hyb-slic,0.0,RandomForest,0.6866666666666668,0.6820630781539021,0.019461722732367022,0.05164531133674641
hyb-slic,0.0,SVM,0.725,0.7252955546627293,0.019461722732367022,0.05164531133674641
hyb-slic,0.25,LogReg,0.7266666666666668,0.7245270989343062,0.02177201577728825,0.04667918389650185
hyb-slic,0.25,RandomForest,0.6933333333333332,0.687859394371704,0.02177201577728825,0.04667918389650185
hyb-slic,0.25,SVM,0.74,0.7391328650721924,0.02177201577728825,0.04667918389650185
hyb-slic,0.5,LogReg,0.7283333333333334,0.7262973763762621,0.0898499180881408,0.036926871160774796
hyb-slic,0.5,RandomForest,0.6933333333333332,0.687859394371704,0.0898499180881408,0.036926871160774796
hyb-slic,0.5,SVM,0.7533333333333333,0.7520663880408038,0.0898499180881408,0.036926871160774796
hyb-slic,0.75,LogReg,0.65,0.6482734239054448,0.05800004815918946,0.0632575814232935
hyb-slic,0.75,RandomForest,0.6933333333333332,0.687859394371704,0.05800004815918946,0.0632575814232935
