method,w,clf,acc,f1,ARI,silhouette
n2vflat-slic,nan,LogReg,0.5213333333333334,0.5173584471368586,0.06952201900638358,0.0627999719442279
n2vflat-slic,nan,RandomForest,0.56,0.5460146643982969,0.06952201900638358,0.0627999719442279
n2vflat-slic,nan,SVM,0.5253333333333334,0.5161715005857177,0.06952201900638358,0.0627999719442279
n2v-slic,0.0,LogReg,0.5359999999999999,0.5150060197487808,0.14224451612562977,0.37765404400967273
n2v-slic,0.0,RandomForest,0.5653333333333334,0.5574951147334921,0.14224451612562977,0.37765404400967273
n2v-slic,0.0,SVM,0.5666666666666667,0.550934939566216,0.14224451612562977,0.37765404400967273
n2v-slic,0.25,LogReg,0.5453333333333333,0.5289938447834377,0.14184321300545075,0.319729097645633
n2v-slic,0.25,RandomForest,0.5586666666666666,0.5410223148280682,0.14184321300545075,0.319729097645633
n2v-slic,0.25,SVM,0.5533333333333333,0.5368956864575937,0.14184321300545075,0.319729097645633
n2v-slic,0.5,LogReg,0.5426666666666666,0.530641875989814,0.14808181750733282,0.16551569802641206
n2v-slic,0.5,RandomForest,0.5613333333333334,0.5439333201313625,0.14808181750733282,0.16551569802641206
n2v-slic,0.5,SVM,0.5386666666666666,0.5199597094853741,0.14808181750733282,0.16551569802641206
n2v-slic,0.75,LogReg,0.5426666666666666,0.5315889409811295,0.06163283225006729,0.0650756603479952
n2v-slic,0.75,RandomForest,0.5613333333333334,0.5439333201313625,0.06163283225006729,0.0650756603479952
n2v-slic,0.75,SVM,0.5413333333333333,0.5290002219559445,0.06163283225006729,0.0650756603479952
n2v-slic,1.0,LogReg,0.42266666666666663,0.4175996057558546,0.03589925229379091,0.062047211824742286
n2v-slic,1.0,RandomForest,0.40933333333333327,0.4029617553386219,0.03589925229379091,0.062047211824742286
n2v-slic,1.0,SVM,0.42266666666666663,0.4183999347378434,0.03589925229379091,0.062047211824742286
wl-slic,nan,LogReg,0.5213333333333334,0.5177504062254513,0.010344302619251745,-0.0068582023520799085
wl-slic,nan,RandomForest,0.5813333333333334,0.5775078119817944,0.010344302619251745,-0.0068582023520799085
wl-slic,nan,SVM,0.54,0.530679912414257,0.010344302619251745,-0.0068582023520799085
g2v-slic,nan,LogReg,0.5266666666666666,0.5251774213086471,0.017166013544429978,0.09239973649981888
g2v-slic,nan,RandomForest,0.5359999999999999,0.5326680449563265,0.017166013544429978,0.09239973649981888
g2v-slic,nan,SVM,0.5826666666666667,0.5807205141269316,0.017166013544429978,0.09239973649981888
combo-slic,0.0,LogReg,0.5359999999999999,0.5150060197487808,0.14224451612562977,0.3776540487327386
combo-slic,0.0,RandomForest,0.5640000000000001,0.5549485460285253,0.14224451612562977,0.3776540487327386
combo-slic,0.0,SVM,0.5666666666666667,0.550934939566216,0.14224451612562977,0.3776540487327386
combo-slic,0.25,LogReg,0.5786666666666667,0.5650739172432513,0.1451073390126183,0.3248331924505605
combo-slic,0.25,RandomForest,0.6159999999999999,0.6056068463441714,0.1451073390126183,0.3248331924505605
combo-slic,0.25,SVM,0.5786666666666667,0.5633364516398134,0.1451073390126183,0.3248331924505605
combo-slic,0.5,LogReg,0.6013333333333333,0.5901400867510749,0.16674390125713484,0.18752931142652338
combo-slic,0.5,RandomForest,0.6159999999999999,0.6056068463441714,0.16674390125713484,0.18752931142652338
combo-slic,0.5,SVM,0.6119999999999999,0.5990057082318417,0.16674390125713484,0.18752931142652338
combo-slic,0.75,LogReg,0.5986666666666667,0.5894732762056485,0.10849788796105181,0.09875761132724811
combo-slic,0.75,RandomForest,0.6159999999999999,0.6056068463441714,0.10849788796105181,0.09875761132724811
combo-slic,0.75,SVM,0.6253333333333333,0.6159118369861575,0.10849788796105181,0.09875761132724811
combo-slic,1.0,LogReg,0.5559999999999999,0.5525354930211234,0.018011044671874397,0.09446007710365809
combo-slic,1.0,RandomForest,0.5559999999999999,0.5516971063736039,0.018011044671874397,0.09446007710365809
combo-slic,1.0,SVM,0.5826666666666667,0.5809548971658665,0.018011044671874397,0.09446007710365809
hyb-slic,0.0,LogReg,0.7213333333333333,0.7204722338362601,0.04268277566980614,0.051687488973866
hyb-slic,0.0,RandomForest,0.7146666666666667,0.7123793414768387,0.04268277566980614,0.051687488973866
hyb-slic,0.0,SVM,0.7453333333333333,0.7451790677090149,0.04268277566980614,0.051687488973866
hyb-slic,0.25,LogReg,0.7386666666666667,0.737246956905331,0.050577910381110334,0.046776512777406715
hyb-slic,0.25,RandomForest,0.7226666666666667,0.718246576977001,0.050577910381110334,0.046776512777406715
hyb-slic,0.25,SVM,0.7626666666666667,0.7620489753135214,0.050577910381110334,0.046776512777406715
hyb-slic,0.5,LogReg,0.7253333333333332,0.7228700140816735,0.1003567534289469,0.046773047677057464
hyb-slic,0.5,RandomForest,0.7226666666666667,0.718246576977001,0.1003567534289469,0.046773047677057464
hyb-slic,0.5,SVM,0.7413333333333332,0.7411316657172603,0.1003567534289469,0.046773047677057464
hyb-slic,0.75,LogReg,0.636,0.6330484243133079,0.019482024282439073,0.08428395717672833
hyb-slic,0.75,RandomForest,0.724,0.7200092969298868,0.019482024282439073,0.08428395717672833
hyb-slic,0.75,SVM,0.636,0.6347922586234281,0.019482024282439073,0.08428395717672833
hyb-slic,1.0,LogReg,0.5559999999999999,0.5525354930211234,0.018011044671874397,0.09446007710365809
hyb-slic,1.0,RandomForest,0.548,0.5438023734909573,0.018011044671874397,0.09446007710365809
